epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
114,7419.45,0.49036,0.37065,0.00983,0.92318,0.92581,0.95612,0.88068,0.42466,0.27308,0.01377,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,7483.57,0.4958,0.36739,0.00992,0.92801,0.92194,0.95646,0.88188,0.41563,0.27079,0.01349,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,7546.72,0.49676,0.35826,0.01001,0.92025,0.9316,0.95723,0.88272,0.41551,0.26834,0.01345,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,7613.3,0.49146,0.34745,0.00987,0.91846,0.93225,0.95812,0.88349,0.41217,0.26508,0.01342,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,7676.76,0.49135,0.36262,0.00976,0.91628,0.92887,0.9572,0.88408,0.41344,0.26679,0.01336,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,7739.6,0.49114,0.36231,0.00979,0.91215,0.93524,0.95758,0.88501,0.40944,0.26316,0.01325,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,7802.26,0.48407,0.35525,0.00973,0.90934,0.93924,0.95784,0.88548,0.40353,0.25968,0.0131,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,7866.08,0.48629,0.35456,0.00975,0.91721,0.92534,0.95711,0.88615,0.40353,0.26054,0.01313,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,7932.86,0.48156,0.35392,0.00955,0.92742,0.92049,0.95911,0.88624,0.40482,0.26285,0.01315,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,7998.28,0.4901,0.35977,0.00969,0.90413,0.93144,0.95665,0.8845,0.40626,0.26465,0.01324,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,8061.07,0.48967,0.36091,0.00989,0.92636,0.92453,0.95713,0.88487,0.40783,0.26696,0.0133,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,8127.83,0.47817,0.35764,0.00962,0.92959,0.91701,0.95722,0.88599,0.40193,0.27013,0.01314,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,8199.46,0.47806,0.35611,0.00955,0.92249,0.92115,0.95765,0.88616,0.41121,0.27286,0.01355,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,8264.43,0.47938,0.3527,0.00951,0.9223,0.92804,0.95799,0.88674,0.41342,0.26867,0.0136,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,8329.42,0.48174,0.34779,0.00962,0.91424,0.93393,0.95678,0.88685,0.41059,0.26881,0.01353,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,8396.56,0.47605,0.34213,0.00949,0.91382,0.93224,0.95727,0.88805,0.39357,0.26816,0.01276,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,8464.37,0.47484,0.35347,0.00945,0.94283,0.91496,0.9575,0.88778,0.39047,0.26329,0.0126,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,8530.71,0.48382,0.35442,0.00961,0.92697,0.92737,0.95989,0.89017,0.38866,0.26017,0.0126,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,8605.62,0.47611,0.36103,0.00955,0.93722,0.91796,0.9594,0.88883,0.38881,0.25975,0.01262,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,8673.18,0.47789,0.35457,0.00955,0.92802,0.92361,0.95989,0.89008,0.39157,0.26248,0.0127,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,8739.83,0.47102,0.34079,0.00946,0.92531,0.93052,0.96076,0.89177,0.39109,0.25808,0.01267,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,8818.94,0.47567,0.33478,0.00947,0.91365,0.9393,0.96154,0.89284,0.38949,0.25394,0.01264,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
